# Name, Gaia_Source_ID, RA, Dec, P_mem
Aliqa Uma, 4969932298603707776, 34.75908, -33.96308, 0.96
Aliqa Uma, 4970235699391286016, 33.27414, -33.53518, 0.82
Aliqa Uma, 4970195635936386304, 34.31974, -33.42711, 0.94
Aliqa Uma, 4970244873441388160, 33.44620, -33.32170, 0.85
Aliqa Uma, 4966915105554905344, 36.60916, -35.37393, 1.00
Aliqa Uma, 4966867208079439616, 34.85794, -34.74736, 0.81
Aliqa Uma, 4953555626958854144, 39.94765, -37.64483, 0.83
Aliqa Uma, 4953742509577115520, 39.13671, -37.00413, 0.98
ATLAS, 2350245137034340864, 10.19383, -21.12920, 0.84
ATLAS, 2349268564550587904, 12.22904, -22.74946, 0.92
ATLAS, 2349548630777593344, 11.60914, -22.16473, 0.92
ATLAS, 2345957664457105408, 14.66700, -23.86380, 0.92
ATLAS, 5034637011710070912, 17.58810, -25.99516, 0.87
ATLAS, 5022762599663670784, 24.07593, -30.17975, 0.98
ATLAS, 5022841901939606144, 24.95656, -29.97387, 0.91
ATLAS, 5022824584631471872, 25.11779, -30.12437, 0.97
ATLAS, 5022162060156193536, 26.43995, -30.64210, 0.95
ATLAS, 5022074919564478208, 25.36516, -30.11110, 0.80
ATLAS, 5022052482655230208, 25.60617, -30.39744, 0.81
ATLAS, 5018755871917064832, 28.38906, -32.04440, 0.90
ATLAS, 5018779653152167168, 27.95198, -32.16171, 0.90
ATLAS, 5018812118808572800, 28.09406, -31.85420, 0.80
ATLAS, 5017997453707993856, 29.61676, -32.67287, 0.94
ATLAS, 5017720033181172352, 30.13574, -33.27585, 0.96
ATLAS, 5018003535381679488, 29.55297, -32.49087, 1.00
ATLAS, 5017989409233601280, 28.94248, -32.26570, 0.92
ATLAS, 5018005734404964224, 29.73206, -32.49708, 0.97
ATLAS, 5017812216062240512, 29.90159, -32.68180, 0.98
ATLAS, 5018070605590948864, 29.16168, -32.27286, 0.99
ATLAS, 5018088777596976512, 28.90682, -32.08237, 0.94
Chenab, 6559165825572005120, -31.43564, -49.63472, 0.92
Chenab, 6462339979771645568, -34.02641, -52.62755, 0.96
Chenab, 6461796924106535424, -34.43192, -54.02540, 0.91
Chenab, 6459874840342466816, -37.30908, -56.94834, 0.93
Chenab, 6458476261551845248, -37.61291, -59.04364, 0.86
Elqui, 5001020474482927488, 10.73958, -37.23082, 0.87
Elqui, 4988898427506399232, 15.86898, -39.73809, 0.87
Elqui, 4987852968042130816, 17.03489, -40.65460, 0.89
Elqui, 4987954462414002048, 17.25282, -40.37710, 0.91
Elqui, 4984996741775494400, 19.27564, -41.27520, 0.97
Elqui, 4985016429905777152, 19.17098, -40.98250, 0.91
Elqui, 4984626618674116480, 18.89447, -41.39791, 0.95
Elqui, 4984609885481432960, 18.88297, -41.65548, 0.86
Elqui, 4984551856180479360, 19.51367, -41.69984, 0.89
Elqui, 4984799005777773952, 18.09101, -41.55665, 0.97
Elqui, 4984817319518399488, 18.66919, -41.28161, 0.88
Elqui, 4984012747588479744, 21.22851, -42.01781, 0.87
Elqui, 4983504429619231232, 19.72981, -42.89262, 0.81
Elqui, 4983511370286401280, 19.77934, -42.81521, 0.84
Elqui, 4983741340015289856, 19.11429, -42.54226, 0.81
Elqui, 4935640798676500992, 22.93883, -43.00445, 0.84
Elqui, 4935785728053117312, 21.52066, -42.87596, 0.89
Indus, 6465537187786542592, -35.89442, -51.98798, 0.98
Indus, 6558733614422815872, -34.13639, -51.21835, 0.93
Indus, 6462384952372986624, -34.87326, -53.46877, 0.84
Indus, 6461814580716638080, -34.68838, -53.82985, 0.82
Indus, 6462024076337070976, -35.28467, -53.46674, 0.85
Indus, 6413021690649670784, -29.14996, -55.41021, 0.80
Indus, 6412971937748529280, -30.81196, -55.56982, 0.89
Indus, 6412885389863009152, -29.95625, -56.06952, 0.83
Indus, 6413069214463203968, -30.03371, -55.12790, 0.95
Indus, 6411723682812748800, -27.34067, -57.95871, 0.82
Indus, 6408587295831503616, -24.08850, -58.11482, 0.89
Indus, 6408482532989102336, -23.56390, -58.81080, 0.87
Indus, 6408582068854776960, -24.67457, -57.94509, 0.80
Indus, 6407403598548602496, -19.88401, -59.64804, 0.85
Indus, 6407430815757143040, -21.35715, -59.90179, 0.93
Indus, 6406488877889315840, -20.57481, -62.27388, 0.83
Indus, 6406561647519513600, -19.43992, -61.88658, 0.92
Indus, 6395021860669136000, -16.42019, -61.13946, 0.94
Indus, 6489774890828604160, -11.44923, -62.53917, 0.89
Indus, 6393617651176919296, -10.89746, -63.53987, 0.91
Indus, 6393565664892722816, -10.29642, -64.06427, 0.94
Indus, 6393498972640642816, -12.26188, -64.36456, 0.97
Indus, 6393910391852892032, -12.85375, -62.47066, 0.91
Indus, 6393357376158844928, -14.59083, -64.38357, 0.97
Indus, 6390585644784264064, -9.12857, -63.77122, 0.83
Jhelum, 6563376577148904704, -37.36885, -47.38729, 0.85
Jhelum, 6562444741045076608, -33.72409, -48.33569, 0.90
Jhelum, 6560560899668859264, -27.77868, -47.34384, 0.91
Jhelum, 6511690283577999488, -23.95350, -50.43376, 0.87
Jhelum, 6511704203568321792, -24.24847, -50.39322, 0.87
Jhelum, 6511703172776180864, -24.46843, -50.35580, 0.97
Jhelum, 6511950425453887616, -25.68077, -50.01122, 0.93
Jhelum, 6511949016704646272, -25.91848, -50.00587, 0.99
Jhelum, 6511937265674081536, -25.54336, -50.11631, 0.88
Jhelum, 6517124108698458368, -22.82200, -49.15477, 0.94
Jhelum, 6502807264714151680, -10.73050, -49.91136, 0.82
Jhelum, 4973132259695258624, 0.52502, -52.19499, 0.81
Jhelum, 6522395201802752896, -4.13204, -51.97272, 0.95
Jhelum, 6513917932791131648, -17.96062, -50.80550, 0.98
Jhelum, 6513917073797672576, -17.95031, -50.88297, 0.92
Jhelum, 6514001358235953280, -17.89828, -50.33099, 0.99
Jhelum, 6525923740774354432, -7.39350, -49.53871, 0.95
Jhelum, 4973378962616486912, 3.11150, -50.61579, 0.98
Jhelum, 6512929746716250624, -14.57764, -51.65224, 0.99
